n_of_reviews,avg_review_rating,avg_days_between_reviews,max_days_between_reviews,min_days_between_reviews,product_ID,cluster_ID,pagerank,eigenvector_cent,clustering_coef,w_degree,fake_score,fake
355,4.771830985915493,10.901129943502823,345.0,0.0,1310,15,0.0008600179513993,7.2267941129859716e-06,0.0900745840504876,90.0,0.09,0
202,4.094059405940594,13.27860696517412,406.0,0.0,1325,15,0.0006293043898356,1.8550503182216935e-06,0.1149425287356321,63.0,0.03,0
571,4.378283712784588,8.792982456140347,501.0,0.0,1332,15,0.000898683987143,2.742056620331186e-07,0.0737729599518217,97.0,0.1,0
375,4.664,13.73529411764706,271.0,0.0,1338,15,0.0007153977757739,1.451270882967928e-07,0.0571184995737425,74.0,0.08,0
268,4.384328358208955,15.131086142322095,610.0,0.0,1339,15,0.0009902003819019,7.253663430005643e-06,0.0786114221724524,108.0,0.05,0
425,3.8211764705882354,9.775943396226412,611.0,0.0,1345,15,0.0008163234126281,1.9034828565972281e-07,0.0626040626040626,86.0,0.07,0
393,4.211195928753181,11.52295918367346,318.0,0.0,1354,15,0.0008068620640195,1.9006480764419523e-06,0.0583845478489903,83.0,0.05,0
692,2.98699421965318,7.626628075253253,359.0,0.0,1358,15,0.0007578040873314,3.6271710751699177e-06,0.048904538341158,78.0,0.05,0
309,3.8932038834951457,15.155844155844155,427.0,0.0,1357,15,0.0005058716069882,1.8548695144648851e-06,0.0653846153846153,48.0,0.03,0
290,4.106896551724138,14.169550173010382,636.0,0.0,1376,15,0.0004377689377219,5.314614714466775e-06,0.1036036036036036,40.0,0.07,0
202,4.420792079207921,23.144278606965173,516.0,0.0,1379,15,0.0004996898873343,8.28726131831862e-08,0.0830564784053156,47.0,0.06,0
398,4.678391959798995,11.44836272040302,304.0,0.0,1400,15,0.0004675507745514,7.419674780661463e-08,0.0695121951219512,45.0,0.08,0
